age,n,group
12,493,middle
13,598,middle
14,681,middle
15,753,middle
16,813,middle
17,883,middle
18,913,middle
19,929,middle
20,960,middle
21,966,middle
22,967,middle
23,969,middle
24,971,middle
25,976,middle
26,983,middle
27,991,middle
28,1003,middle
29,1010,middle
30,1013,middle
31,1018,middle
32,1023,middle
33,1031,middle
34,1038,middle
35,1040,middle
36,1040,middle
37,1040,middle
38,1040,middle
39,1040,middle
40,1040,middle
41,1040,middle
42,1040,middle
43,1040,middle
44,1040,middle
45,1040,middle
46,1040,middle
47,1040,middle
48,1040,middle
49,1040,middle
50,1040,middle
0,3,middle
1,11,middle
2,39,middle
3,72,middle
4,101,middle
5,116,middle
6,125,middle
7,135,middle
8,150,middle
9,164,middle
10,175,middle
11,192,middle
12,220,middle
13,235,middle
14,258,middle
15,268,middle
16,284,middle
17,296,middle
18,312,middle
19,325,middle
20,341,middle
21,344,middle
22,344,middle
23,346,middle
24,350,middle
25,352,middle
26,355,middle
27,356,middle
28,362,middle
29,365,middle
30,366,middle
31,368,middle
32,368,middle
33,369,middle
34,374,middle
35,377,middle
36,377,middle
37,377,middle
38,377,middle
39,377,middle
40,377,middle
41,377,middle
42,377,middle
43,377,middle
44,377,middle
45,377,middle
46,377,middle
47,377,middle
48,377,middle
49,377,middle
50,377,middle
0,8,bottom
1,36,bottom
2,62,bottom
3,79,bottom
4,96,bottom
5,120,bottom
6,147,bottom
7,163,bottom
8,183,bottom
9,204,bottom
10,222,bottom
11,233,bottom
12,241,bottom
13,255,bottom
14,266,bottom
15,280,bottom
16,292,bottom
17,295,bottom
18,307,bottom
19,322,bottom
20,333,bottom
21,343,bottom
22,353,bottom
23,354,bottom
24,362,bottom
25,369,bottom
26,374,bottom
27,379,bottom
28,380,bottom
29,382,bottom
30,382,bottom
31,382,bottom
32,382,bottom
33,382,bottom
34,382,bottom
35,382,bottom
36,382,bottom
37,382,bottom
38,382,bottom
39,382,bottom
40,382,bottom
41,382,bottom
42,382,bottom
43,382,bottom
44,382,bottom
45,382,bottom
46,382,bottom
47,382,bottom
48,382,bottom
49,382,bottom
50,382,bottom
0,11,middle
1,27,middle
2,48,middle
3,58,middle
4,77,middle
5,98,middle
6,124,middle
7,146,middle
8,174,middle
9,192,middle
10,231,middle
11,249,middle
12,266,middle
13,293,middle
14,305,middle
15,317,middle
16,338,middle
17,361,middle
18,373,middle
19,391,middle
20,399,middle
21,402,middle
22,412,middle
23,418,middle
24,429,middle
25,439,middle
26,447,middle
27,451,middle
28,452,middle
29,454,middle
30,454,middle
31,458,middle
32,464,middle
33,464,middle
34,464,middle
35,464,middle
36,464,middle
37,464,middle
38,464,middle
39,464,middle
40,464,middle
41,464,middle
42,464,middle
43,464,middle
44,464,middle
45,464,middle
46,464,middle
47,464,middle
48,464,middle
49,464,middle
50,464,middle
0,1,bottom
1,1,bottom
2,1,bottom
3,2,bottom
4,2,bottom
5,2,bottom
6,2,bottom
7,2,bottom
8,2,bottom
9,2,bottom
10,2,bottom
11,2,bottom
12,2,bottom
13,2,bottom
14,2,bottom
15,2,bottom
16,2,bottom
17,2,bottom
18,2,bottom
19,2,bottom
20,2,bottom
21,2,bottom
22,2,bottom
23,2,bottom
24,2,bottom
25,2,bottom
26,2,bottom
27,2,bottom
28,2,bottom
29,2,bottom
30,2,bottom
31,2,bottom
32,2,bottom
33,2,bottom
34,2,bottom
35,2,bottom
36,2,bottom
37,2,bottom
38,2,bottom
39,2,bottom
40,2,bottom
41,2,bottom
42,2,bottom
43,2,bottom
44,2,bottom
45,2,bottom
46,2,bottom
47,2,bottom
48,2,bottom
49,2,bottom
50,2,bottom
0,1,middle
1,8,middle
2,25,middle
3,53,middle
4,85,middle
5,121,middle
6,161,middle
7,228,middle
8,302,middle
9,370,middle
10,428,middle
11,481,middle
12,539,middle
13,574,middle
14,592,middle
15,607,middle
16,612,middle
17,616,middle
18,617,middle
19,617,middle
20,617,middle
21,617,middle
22,617,middle
23,617,middle
24,617,middle
25,617,middle
26,617,middle
27,617,middle
28,617,middle
29,617,middle
30,617,middle
31,617,middle
32,617,middle
33,617,middle
34,617,middle
35,617,middle
36,617,middle
37,617,middle
38,617,middle
39,617,middle
40,617,middle
41,617,middle
42,617,middle
43,617,middle
44,617,middle
45,617,middle
46,617,middle
47,617,middle
48,617,middle
49,617,middle
50,617,middle
0,4,top
1,31,top
2,64,top
3,91,top
4,117,top
5,153,top
6,190,top
7,224,top
8,273,top
9,317,top
10,363,top
11,396,top
12,425,top
13,450,top
14,478,top
15,508,top
16,530,top
17,553,top
18,572,top
19,596,top
20,631,top
21,658,top
22,677,top
23,770,top
24,848,top
25,908,top
26,980,top
27,1046,top
28,1114,top
29,1183,top
30,1259,top
31,1335,top
32,1388,top
33,1436,top
34,1465,top
35,1483,top
36,1502,top
37,1506,top
38,1506,top
39,1506,top
40,1506,top
41,1506,top
42,1506,top
43,1506,top
44,1506,top
45,1506,top
46,1506,top
47,1506,top
48,1506,top
49,1506,top
50,1506,top
0,15,middle
1,59,middle
2,90,middle
3,156,middle
4,241,middle
5,329,middle
6,391,middle
7,441,middle
8,498,middle
9,527,middle
10,568,middle
11,635,middle
12,695,middle
13,730,middle
14,768,middle
15,791,middle
16,806,middle
17,820,middle
18,836,middle
19,853,middle
20,869,middle
21,884,middle
22,903,middle
23,915,middle
24,952,middle
25,981,middle
26,1006,middle
27,1028,middle
28,1060,middle
29,1089,middle
30,1125,middle
31,1156,middle
32,1176,middle
33,1179,middle
34,1180,middle
35,1180,middle
36,1180,middle
37,1180,middle
38,1180,middle
39,1180,middle
40,1180,middle
41,1180,middle
42,1180,middle
43,1180,middle
44,1180,middle
45,1180,middle
46,1180,middle
47,1180,middle
48,1180,middle
49,1180,middle
50,1180,middle
0,1,middle
1,3,middle
2,15,middle
3,24,middle
4,38,middle
5,50,middle
6,54,middle
7,64,middle
8,80,middle
9,110,middle
10,157,middle
11,214,middle
12,237,middle
13,264,middle
14,292,middle
15,330,middle
16,355,middle
17,394,middle
18,420,middle
19,436,middle
20,441,middle
21,443,middle
22,444,middle
23,444,middle
24,444,middle
25,444,middle
26,444,middle
27,444,middle
28,444,middle
29,444,middle
30,444,middle
31,444,middle
32,444,middle
33,444,middle
34,444,middle
35,444,middle
36,444,middle
37,444,middle
38,444,middle
39,444,middle
40,444,middle
41,444,middle
42,444,middle
43,444,middle
44,444,middle
45,444,middle
46,444,middle
47,444,middle
48,444,middle
49,444,middle
50,444,middle
0,21,top
1,43,top
2,81,top
3,111,top
4,134,top
5,171,top
6,198,top
7,236,top
8,267,top
9,301,top
10,339,top
11,374,top
12,438,top
13,479,top
14,526,top
15,570,top
16,605,top
17,644,top
18,681,top
19,722,top
20,733,top
21,733,top
22,733,top
23,733,top
24,733,top
25,733,top
26,734,top
27,734,top
28,734,top
29,734,top
30,734,top
31,734,top
32,734,top
33,734,top
34,734,top
35,734,top
36,734,top
37,734,top
38,734,top
39,735,top
40,735,top
41,735,top
42,735,top
43,735,top
44,735,top
45,735,top
46,735,top
47,735,top
